namePlayer,stat,career,season,better_after_olympics,olympic_teams
DeMar DeRozan,pts,20.0282902829028,27.2972972972973,1,2016
DeMar DeRozan,rbs,4.36039360393604,5.21621621621622,1,2016
DeMarcus Cousins,2p,0.47688770571152,0.482694106641721,1,2016
DeMarcus Cousins,3p,0.331716779825412,0.360881542699725,1,2016
DeMarcus Cousins,asts,3.2424778761062,4.61111111111111,1,2016
DeMarcus Cousins,fg,0.460785368477676,0.451815642458101,0,2016
DeMarcus Cousins,ftr,0.452393760086068,0.467877094972067,1,2016
DeMarcus Cousins,mpg,31.9964601769912,34.2361111111111,1,2016
DeMarcus Cousins,pts,21.2495575221239,26.9722222222222,1,2016
DeMarcus Cousins,rbs,10.8513274336283,11.0277777777778,1,2016
Deron Williams,2p,0.482003129890454,0.501045296167247,1,"2008, 2012"
Deron Williams,3p,0.357402912621359,0.355126300148588,0,"2008, 2012"
Deron Williams,asts,8.0698224852071,9.1027397260274,1,"2008, 2012"
Deron Williams,fg,0.444545786209413,0.454459203036053,1,"2008, 2012"
Deron Williams,ftr,0.319408974826706,0.357210626185958,1,"2008, 2012"
Deron Williams,mpg,34.1597633136095,36.6232876712329,1,"2008, 2012"
Deron Williams,pts,16.3360946745562,19.1643835616438,1,"2008, 2012"
Deron Williams,rbs,3.09940828402367,2.92465753424658,0,"2008, 2012"
Draymond Green,2p,0.506168224299065,0.493540051679587,0,2016
Draymond Green,3p,0.319240196078431,0.307984790874525,0,2016
Draymond Green,asts,4.95659722222222,7.01315789473684,1,2016
Draymond Green,fg,0.435337822149988,0.418461538461538,0,2016
Draymond Green,ftr,0.294172277687486,0.327692307692308,1,2016
Draymond Green,mpg,28.1267361111111,32.5131578947368,1,2016
Draymond Green,pts,8.97569444444445,10.2105263157895,1,2016
Draymond Green,rbs,6.88541666666667,7.88157894736842,1,2016
Dwight Howard,2p,0.588812905488339,0.573183213920164,0,2008
Dwight Howard,3p,0.132352941176471,0,0,2008
Dwight Howard,asts,1.42585895117541,1.41772151898734,0,2008
Dwight Howard,fg,0.586107721805822,0.572012257405516,0,2008
Dwight Howard,ftr,0.790047062924874,0.867211440245148,1,2008
Dwight Howard,mpg,33.6148282097649,35.7088607594937,1,2008
Dwight Howard,pts,16.8010849909584,20.5569620253165,1,2008
Dwight Howard,rbs,12.3336347197107,13.8354430379747,1,2008
Dwyane Wade,2p,0.502127929873595,0.505852231163131,1,"2004, 2008"
Dwyane Wade,3p,0.292956243329776,0.312693498452012,1,"2004, 2008"
Dwyane Wade,asts,5.40891840607211,7.10897435897436,1,"2004, 2008"
Dwyane Wade,fg,0.47987739115627,0.485443245011449,1,"2004, 2008"
Dwyane Wade,ftr,0.42362490775955,0.501472031403337,1,"2004, 2008"
Dwyane Wade,mpg,33.9440227703985,38.6025641025641,1,"2004, 2008"
Dwyane Wade,pts,21.9781783681214,27.1794871794872,1,"2004, 2008"
Dwyane Wade,rbs,4.68026565464896,5.09615384615385,1,"2004, 2008"
Emeka Okafor,2p,0.512190963341858,0.447105788423154,0,2004
Emeka Okafor,3p,0,0,0,2004
Emeka Okafor,asts,0.844155844155844,0.876712328767123,1,2004
Emeka Okafor,fg,0.512016362706664,0.446660019940179,0,2004
Emeka Okafor,ftr,0.396284302028294,0.3419740777667,0,2004
Emeka Okafor,mpg,30.9301948051948,35.5890410958904,1,2004
Emeka Okafor,pts,11.9642857142857,15.1369863013699,1,2004
Emeka Okafor,rbs,9.68668831168831,10.8904109589041,1,2004
Harrison Barnes,2p,0.477277443452999,0.492438563327032,1,2016
Harrison Barnes,3p,0.374937593609586,0.351351351351351,0,2016
Harrison Barnes,asts,1.62582781456954,1.46835443037975,0,2016
Harrison Barnes,fg,0.447229551451187,0.46796875,1,2016
Harrison Barnes,ftr,0.259601289944298,0.21953125,0,2016
Harrison Barnes,mpg,31.1655629139073,35.493670886076,1,2016
Harrison Barnes,pts,13.6804635761589,19.2151898734177,1,2016
Harrison Barnes,rbs,4.88576158940397,4.9873417721519,1,2016
James Harden,2p,0.509027684900361,0.477085781433608,0,2012
James Harden,3p,0.363291139240506,0.368312757201646,1,2012
James Harden,asts,6.28692493946731,5.83333333333333,0,2012
James Harden,fg,0.442270058708415,0.43754674644727,0,2012
James Harden,ftr,0.525838950496485,0.592370979805535,1,2012
James Harden,mpg,34.318401937046,38.2692307692308,1,2012
James Harden,pts,25.0883777239709,25.9358974358974,1,2012
James Harden,rbs,5.31234866828087,4.85897435897436,0,2012
Jason Kidd,2p,0.429281655844156,0.427118644067797,0,2008
Jason Kidd,3p,0.348710752499561,0.405572755417957,1,2008
Jason Kidd,asts,8.69230769230769,8.66666666666667,0,2008
Jason Kidd,fg,0.399755736967282,0.415857605177994,1,2008
Jason Kidd,ftr,0.254162113518031,0.169902912621359,0,2008
Jason Kidd,mpg,36.0294751976995,35.6296296296296,0,2008
Jason Kidd,pts,12.6017253774263,9.02469135802469,0,2008
Jason Kidd,rbs,6.2724658519051,6.17283950617284,0,2008
Jimmy Butler,2p,0.486770569046756,0.477091633466135,0,2016
Jimmy Butler,3p,0.333333333333333,0.366935483870968,1,2016
Jimmy Butler,asts,3.70190641247834,5.48684210526316,1,2016
Jimmy Butler,fg,0.453769559032717,0.455271565495208,1,2016
Jimmy Butler,ftr,0.500853485064011,0.539936102236422,1,2016
Jimmy Butler,mpg,33.0675909878683,36.9605263157895,1,2016
Jimmy Butler,pts,17.0242634315425,23.8947368421053,1,2016
Jimmy Butler,rbs,5.08838821490468,6.18421052631579,1,2016
Kevin Durant,2p,0.531992843145608,0.565912851627137,1,"2012, 2016"
Kevin Durant,3p,0.380883066472586,0.396284829721362,1,"2012, 2016"
Kevin Durant,asts,4.10600706713781,4.71328671328671,1,"2012, 2016"
Kevin Durant,fg,0.492717069172079,0.521350142334282,1,"2012, 2016"
Kevin Durant,ftr,0.410240242133804,0.461163074420496,1,"2012, 2016"
Kevin Durant,mpg,36.8727915194346,36.2867132867133,0,"2012, 2016"
Kevin Durant,pts,27.020023557126,26.8181818181818,0,"2012, 2016"
Kevin Durant,rbs,7.05771495877503,8.06293706293706,1,"2012, 2016"
Kevin Love,2p,0.479830481870978,0.412621359223301,0,2012
Kevin Love,3p,0.37038158691702,0.217391304347826,0,2012
Kevin Love,asts,2.37868162692847,2.33333333333333,0,2012
Kevin Love,fg,0.442468727385506,0.352348993288591,0,2012
Kevin Love,ftr,0.400599607153934,0.476510067114094,1,2012
Kevin Love,mpg,31.9817671809257,34.3333333333333,1,2012
Kevin Love,pts,18.2230014025245,18.3333333333333,1,2012
Kevin Love,rbs,11.1416549789621,14,1,2012
Klay Thompson,2p,0.49060014461316,0.515775034293553,1,2016
Klay Thompson,3p,0.419114219114219,0.414219474497682,0,2016
Klay Thompson,asts,2.30243902439024,2.05128205128205,0,2016
Klay Thompson,fg,0.459376908979841,0.468023255813954,1,2016
Klay Thompson,ftr,0.140908165343107,0.15843023255814,1,2016
Klay Thompson,mpg,33.069918699187,33.9615384615385,1,2016
Klay Thompson,pts,19.5040650406504,22.3333333333333,1,2016
Klay Thompson,rbs,3.46341463414634,3.65384615384615,1,2016
Kobe Bryant,2p,0.478938704367193,0.502340093603744,1,"2008, 2012"
Kobe Bryant,3p,0.329426613775694,0.336473755047106,1,"2008, 2012"
Kobe Bryant,asts,4.6849925705795,5.425,1,"2008, 2012"
Kobe Bryant,fg,0.447290076335878,0.465074085273662,1,"2008, 2012"
Kobe Bryant,ftr,0.382099236641221,0.359842757786514,0,"2008, 2012"
Kobe Bryant,mpg,36.147102526003,37.33125,1,"2008, 2012"
Kobe Bryant,pts,24.9947994056464,27.0875,1,"2008, 2012"
Kobe Bryant,rbs,5.23551263001486,5.3875,1,"2008, 2012"
